Date,New cases,Cumulative
03-Mar,1,1
04-Mar,1,2
05-Mar,2,4
06-Mar,0,4
07-Mar,0,4
08-Mar,0,4
09-Mar,2,6
10-Mar,1,7
11-Mar,1,8
12-Mar,0,8
13-Mar,7,15
14-Mar,0,15
15-Mar,3,18
16-Mar,6,24
17-Mar,4,28
18-Mar,3,31
19-Mar,4,35
20-Mar,4,39
21-Mar,3,42
22-Mar,4,46
23-Mar,12,58
24-Mar,9,67
25-Mar,14,81
26-Mar,22,103
27-Mar,14,117
28-Mar,31,148
29-Mar,23,171
30-Mar,24,195
31-Mar,33,228
01-Apr,29,257
02-Apr,34,291
03-Apr,30,321
04-Apr,40,361
05-Apr,36,397
06-Apr,72,469
07-Apr,59,528
08-Apr,53,581
09-Apr,63,644
10-Apr,37,681
11-Apr,43,724
12-Apr,37,761
13-Apr,40,801
14-Apr,51,852
15-Apr,38,890
16-Apr,35,925
17-Apr,15,940
18-Apr,55,995
19-Apr,35,1030
20-Apr,42,1072
21-Apr,39,1111
22-Apr,56,1167
23-Apr,50,1217
24-Apr,53,1270
25-Apr,35,1305
26-Apr,26,1331
27-Apr,23,1354
28-Apr,35,1389
29-Apr,50,1439
30-Apr,33,1472
01-May,38,1510
02-May,23,1533
03-May,29,1562
04-May,22,1584
05-May,45,1629
06-May,47,1676
07-May,39,1715
08-May,27,1742
09-May,25,1767
10-May,30,1797
11-May,35,1832
12-May,35,1867
13-May,36,1903
14-May,24,1927
15-May,25,1952
16-May,38,1990
17-May,26,2016
18-May,35,2051
19-May,46,2097
20-May,33,2130
21-May,23,2153
22-May,27,2180
23-May,17,2197
24-May,16,2213
25-May,24,2237
26-May,23,2260
27-May,11,2271
28-May,33,2304
29-May,20,2324
30-May,24,2348
31-May,20,2368
01-Jun,19,2387
02-Jun,24,2411
03-Jun,18,2429
04-Jun,17,2446
05-Jun,22,2468
06-Jun,9,2477
07-Jun,8,2485
08-Jun,18,2503
09-Jun,16,2519
10-Jun,14,2533
11-Jun,19,2552
12-Jun,13,2565
13-Jun,14,2579
14-Jun,19,2598
15-Jun,16,2614
16-Jun,19,2633
17-Jun,20,2653
18-Jun,26,2679
19-Jun,15,2694
20-Jun,15,2709
21-Jun,6,2715
22-Jun,16,2731
23-Jun,13,2744
24-Jun,20,2764
25-Jun,14,2778
26-Jun,11,2789
27-Jun,18,2807
28-Jun,9,2816
29-Jun,10,2826
30-Jun,7,2833
01-Jul,16,2849
02-Jul,16,2865
03-Jul,14,2879
04-Jul,12,2891
05-Jul,6,2897
